step,vehicle,speed,distance_to_intersection,decision
31,car1,0.0,30.882234211587765,WAIT
31,car2,0.0,20.561240390005157,WAIT
31,car3,0.0,23.992067339033696,WAIT
32,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
32,car1,0.0,30.882234211587765,WAIT
32,car2,0.0,20.561240390005157,WAIT
32,car3,0.0,23.992067339033696,WAIT
33,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
33,car1,0.0,30.882234211587765,WAIT
33,car2,0.0,20.561240390005157,WAIT
33,car3,0.0,23.992067339033696,WAIT
34,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
34,car1,0.0,30.882234211587765,WAIT
34,car2,0.0,20.561240390005157,WAIT
34,car3,0.0,23.992067339033696,WAIT
35,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
35,car1,0.0,30.882234211587765,WAIT
35,car2,0.0,20.561240390005157,WAIT
35,car3,0.0,23.992067339033696,WAIT
36,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
36,car1,0.0,30.882234211587765,WAIT
36,car2,0.0,20.561240390005157,WAIT
36,car3,0.0,23.992067339033696,WAIT
37,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
37,car1,0.0,30.882234211587765,WAIT
37,car2,0.0,20.561240390005157,WAIT
37,car3,0.0,23.992067339033696,WAIT
38,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
38,car1,0.0,30.882234211587765,WAIT
38,car2,0.0,20.561240390005157,WAIT
38,car3,0.0,23.992067339033696,WAIT
39,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
39,car1,0.0,30.882234211587765,WAIT
39,car2,0.0,20.561240390005157,WAIT
39,car3,0.0,23.992067339033696,WAIT
40,car0,4.7748263676261615e-15,19.632547476284756,PROCEED
40,car1,0.0,30.882234211587765,WAIT
40,car2,0.0,20.561240390005157,WAIT
40,car3,0.0,23.992067339033696,WAIT
41,car0,2.600000000000005,17.3235563275327,PROCEED
41,car1,0.0,30.882234211587765,WAIT
41,car2,0.0,20.561240390005157,WAIT
41,car3,0.0,23.992067339033696,WAIT
42,car0,5.200000000000005,13.103167821091775,PROCEED
42,car1,0.0,30.882234211587765,WAIT
42,car2,0.0,20.561240390005157,WAIT
42,car3,0.0,23.992067339033696,WAIT
43,car0,7.800000000000004,9.49587935175243,PROCEED
43,car1,0.0,30.882234211587765,WAIT
43,car2,0.0,20.561240390005157,WAIT
43,car3,0.0,23.992067339033696,WAIT
44,car0,10.400000000000004,13.336128224890123,PROCEED
44,car1,0.0,30.882234211587765,WAIT
44,car2,0.0,20.561240390005157,WAIT
44,car3,0.0,23.992067339033696,WAIT
45,car0,13.000000000000004,23.72875422634077,WAIT
45,car1,0.0,30.882234211587765,WAIT
45,car2,0.0,20.561240390005157,PROCEED
45,car3,0.0,23.992067339033696,WAIT
46,car0,8.500000000000004,31.47882348984815,WAIT
46,car1,0.0,30.882234211587765,WAIT
46,car2,0.0,20.561240390005157,PROCEED
46,car3,0.0,23.992067339033696,WAIT
47,car0,4.0000000000000036,35.24576682991362,WAIT
47,car1,0.0,30.882234211587765,WAIT
47,car2,0.0,20.561240390005157,PROCEED
47,car3,0.0,23.992067339033696,WAIT
48,car0,0.0,35.24576682991362,WAIT
48,car1,0.0,30.882234211587765,WAIT
48,car2,0.0,20.561240390005157,PROCEED
48,car3,0.0,23.992067339033696,WAIT
49,car0,0.0,35.24576682991362,WAIT
