step,vehicle,speed,distance_to_intersection,time_to_intersection,raw_decision,final_decision,conflict
60,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
60,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
60,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
60,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
61,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
61,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
61,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
61,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
62,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
62,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
62,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
62,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
63,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
63,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
63,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
63,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
64,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
64,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
64,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
64,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
65,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
65,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
65,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
65,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
66,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
66,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
66,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
66,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
67,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
67,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
67,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
67,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
68,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
68,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
68,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
68,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
69,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
69,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
69,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
69,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
70,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
70,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
70,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
70,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
71,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
71,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
71,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
71,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
72,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
72,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
72,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
72,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
73,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
73,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
73,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
73,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
74,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
74,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
74,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
74,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
75,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
75,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
75,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
75,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
76,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
76,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
76,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
76,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
77,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
77,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
77,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
77,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
78,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
78,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
78,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
78,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
79,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
79,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
79,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
79,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
80,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
80,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
80,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
80,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
81,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
81,car1,0.0,30.882234211587765,inf,WAIT,WAIT,False
81,car2,0.0,20.561240390005157,inf,PROCEED,PROCEED,False
81,car3,0.0,23.992067339033696,inf,WAIT,WAIT,False
82,car0,0.0,35.24576682991362,inf,WAIT,WAIT,False
