step,vehicle,speed,route,distance_to_intersection,in_control_zone,raw_decision,final_decision
57,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
57,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
57,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
57,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
58,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
58,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
58,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
58,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
59,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
59,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
59,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
59,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
60,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
60,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
60,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
60,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
61,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
61,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
61,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
61,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
62,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
62,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
62,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
62,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
63,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
63,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
63,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
63,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
64,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
64,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
64,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
64,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
65,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
65,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
65,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
65,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
66,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
66,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
66,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
66,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
67,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
67,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
67,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
67,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
68,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
68,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
68,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
68,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
69,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
69,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
69,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
69,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
70,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
70,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
70,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
70,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
71,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
71,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
71,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
71,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
72,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
72,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
72,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
72,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
73,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
73,car1,0.0,S_N,35.35773550515821,True,WAIT,WAIT
73,car2,0.0,E_W,20.561240390005157,True,PROCEED,PROCEED
73,car3,4.7748263676261615e-15,W_E,21.13095244824849,True,PROCEED,PROCEED
74,car0,0.0,N_S,35.24576682991362,True,WAIT,WAIT
