step,vehicle,speed,route,distance_to_intersection,in_control_zone,raw_decision,final_decision
39,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,PROCEED,PROCEED
39,car1,0.0,S_N,19.62423205524667,True,FREE,FREE
39,car2,13.89,E_W,99.28166860822849,False,FREE,FREE
39,car3,13.89,W_E,90.85812921960442,False,FREE,FREE
40,car0,4.7748263676261615e-15,N_S,19.632547476284756,True,WAIT,WAIT
40,car1,0.0,S_N,19.62423205524667,True,WAIT,WAIT
40,car2,13.89,E_W,113.0938873663345,False,FREE,FREE
40,car3,13.89,W_E,104.65536655896864,False,FREE,FREE
41,car0,0.0,N_S,19.632547476284756,True,WAIT,WAIT
41,car1,0.0,S_N,19.62423205524667,True,WAIT,WAIT
41,car2,13.89,E_W,126.92308136805892,False,FREE,FREE
41,car3,13.89,W_E,118.47406794852088,False,FREE,FREE
42,car0,0.0,N_S,19.632547476284756,True,WAIT,WAIT
42,car1,0.0,S_N,19.62423205524667,True,WAIT,WAIT
42,car3,13.89,W_E,132.30750819708717,False,FREE,FREE
43,car0,0.0,N_S,19.632547476284756,True,WAIT,WAIT
43,car1,0.0,S_N,19.62423205524667,True,WAIT,WAIT
43,car3,13.89,W_E,146.1515022048926,False,FREE,FREE
44,car0,0.0,N_S,19.632547476284756,True,WAIT,WAIT
44,car1,0.0,S_N,19.62423205524667,True,WAIT,WAIT
45,car0,0.0,N_S,19.632547476284756,True,WAIT,WAIT
45,car1,0.0,S_N,19.62423205524667,True,WAIT,WAIT
46,car0,0.0,N_S,19.632547476284756,True,WAIT,WAIT
46,car1,0.0,S_N,19.62423205524667,True,WAIT,WAIT
47,car0,0.0,N_S,19.632547476284756,True,WAIT,WAIT
47,car1,0.0,S_N,19.62423205524667,True,WAIT,WAIT
48,car0,0.0,N_S,19.632547476284756,True,WAIT,WAIT
48,car1,0.0,S_N,19.62423205524667,True,WAIT,WAIT
49,car0,0.0,N_S,19.632547476284756,True,WAIT,WAIT
49,car1,0.0,S_N,19.62423205524667,True,WAIT,WAIT
