run_id,scenario_class,vehicle_count,seed,planner,initial_demand_signature,departed,arrived,completion_rate,throughput,mean_waiting_time,maximum_waiting_time,mean_speed,episode_duration_seconds,collision_count,decision_epoch_count,grant_count,mean_grant_duration_seconds,grant_timeout_count,safety_intervention_count,gemini_request_count,provider_success_count,parser_success_count,fallback_count,fallback_rate,mean_latency_ms,prompt_tokens,completion_tokens,total_tokens,agreement_count,disagreement_count
phase2_formal_batch2_s3_cooperative_opportunity_v12_seed1_deterministic_candidate,S3_COOPERATIVE_OPPORTUNITY,12,1,DETERMINISTIC_CANDIDATE,5D226775695E3140809542841ECA62EBE60DDF92BCEA2FB40A6EB2B946CA6039,12,12,1.0,12,8.083333333333334,23.0,7.3367473118279545,52.0,0,5,5,8.6,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
phase2_formal_batch2_s3_cooperative_opportunity_v12_seed1_gemini_candidate,S3_COOPERATIVE_OPPORTUNITY,12,1,GEMINI_CANDIDATE,5D226775695E3140809542841ECA62EBE60DDF92BCEA2FB40A6EB2B946CA6039,12,12,1.0,12,9.583333333333334,23.0,6.981994884910487,52.0,0,5,5,8.6,0,0,5,5,5,0,0.0,11092.704,16348,315,16663,4,1
phase2_formal_batch2_s3_cooperative_opportunity_v12_seed2_deterministic_candidate,S3_COOPERATIVE_OPPORTUNITY,12,2,DETERMINISTIC_CANDIDATE,356F9602945D20984FBC107AA7EEF3ABF7249C0F1C5349A9E474E0FF101AEA58,12,12,1.0,12,9.5,27.0,6.8736868686868675,58.0,0,5,5,9.2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
phase2_formal_batch2_s3_cooperative_opportunity_v12_seed2_gemini_candidate,S3_COOPERATIVE_OPPORTUNITY,12,2,GEMINI_CANDIDATE,356F9602945D20984FBC107AA7EEF3ABF7249C0F1C5349A9E474E0FF101AEA58,12,12,1.0,12,11.0,27.0,6.5546394230769245,58.0,0,5,5,9.2,0,0,5,5,5,0,0.0,7841.2880000000005,16694,307,17001,4,1
phase2_formal_batch2_s3_cooperative_opportunity_v12_seed3_deterministic_candidate,S3_COOPERATIVE_OPPORTUNITY,12,3,DETERMINISTIC_CANDIDATE,99CD1466A10A32D845DF9210B23F3F18038F19760C9F4937FD5D4D5423897CC4,12,12,1.0,12,6.833333333333333,20.0,7.721189801699716,52.0,0,5,5,8.6,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
phase2_formal_batch2_s3_cooperative_opportunity_v12_seed3_gemini_candidate,S3_COOPERATIVE_OPPORTUNITY,12,3,GEMINI_CANDIDATE,99CD1466A10A32D845DF9210B23F3F18038F19760C9F4937FD5D4D5423897CC4,12,12,1.0,12,8.833333333333334,23.0,7.1620472440944845,55.0,0,5,5,9.0,0,0,5,5,5,0,0.0,6144.907999999999,16398,301,16699,4,1
phase2_formal_batch2_s4_fairness_pressure_v16_seed1_deterministic_candidate,S4_FAIRNESS_PRESSURE,16,1,DETERMINISTIC_CANDIDATE,51AE98A51C97EB3FE178E297075AD09503CC6010495C73C272A1263E5A8EAEF0,16,16,1.0,16,9.4375,33.0,7.3216885553470945,65.0,0,6,6,8.833333333333334,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
phase2_formal_batch2_s4_fairness_pressure_v16_seed1_gemini_candidate,S4_FAIRNESS_PRESSURE,16,1,GEMINI_CANDIDATE,51AE98A51C97EB3FE178E297075AD09503CC6010495C73C272A1263E5A8EAEF0,16,16,1.0,16,9.4375,33.0,7.3216885553470945,65.0,0,6,6,8.833333333333334,0,0,6,6,6,0,0.0,10735.773333333333,23170,406,23576,6,0
phase2_formal_batch2_s4_fairness_pressure_v16_seed2_deterministic_candidate,S4_FAIRNESS_PRESSURE,16,2,DETERMINISTIC_CANDIDATE,96AC78CCEB7AC0D2F46CAF0F8138E539EFF6B4F28027B0D2B929BCF72BCE02F2,16,16,1.0,16,10.6875,34.0,6.935197132616485,68.0,0,6,6,9.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
phase2_formal_batch2_s4_fairness_pressure_v16_seed2_gemini_candidate,S4_FAIRNESS_PRESSURE,16,2,GEMINI_CANDIDATE,96AC78CCEB7AC0D2F46CAF0F8138E539EFF6B4F28027B0D2B929BCF72BCE02F2,16,16,1.0,16,10.6875,34.0,6.935197132616485,68.0,0,6,6,9.0,0,0,6,6,6,0,0.0,8830.123333333333,23138,406,23544,6,0
phase2_formal_batch2_s4_fairness_pressure_v16_seed3_deterministic_candidate,S4_FAIRNESS_PRESSURE,16,3,DETERMINISTIC_CANDIDATE,81FF14947613336D8A15FCD47FD27EF49F01AE05D19754CCC6F3571C68C312A6,16,16,1.0,16,8.6875,34.0,7.494740882917467,66.0,0,6,6,9.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
phase2_formal_batch2_s4_fairness_pressure_v16_seed3_gemini_candidate,S4_FAIRNESS_PRESSURE,16,3,GEMINI_CANDIDATE,81FF14947613336D8A15FCD47FD27EF49F01AE05D19754CCC6F3571C68C312A6,16,16,1.0,16,8.6875,34.0,7.494740882917467,66.0,0,6,6,9.0,0,0,6,6,6,0,0.0,8671.118333333334,23229,407,23636,6,0
